1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
2, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
3, none, minecraft:the_void, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
4, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
5, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
6, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
7, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
8, none, minecraft:the_void, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
9, none, minecraft:the_void, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
10, none, minecraft:the_void, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
11, none, minecraft:the_void, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
12, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
13, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
14, none, minecraft:the_void, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
15, none, minecraft:the_void, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
16, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
17, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
18, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
19, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
20, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
21, none, minecraft:the_void, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
22, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
23, none, minecraft:the_void, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
24, none, minecraft:the_void, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
25, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
26, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
27, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
28, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
29, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
30, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
31, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
32, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
33, plains, minecraft:plains, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
34, plains, minecraft:plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
35, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
36, plains, minecraft:plains, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
37, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
38, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
39, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
40, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
41, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
42, plains, minecraft:plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
43, plains, minecraft:plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
44, plains, minecraft:plains, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
45, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
46, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
47, plains, minecraft:plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
48, plains, minecraft:plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
49, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
50, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
51, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
52, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
53, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
54, plains, minecraft:plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
55, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
56, plains, minecraft:plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
57, plains, minecraft:plains, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
58, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 8, 8
59, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 8, 8
60, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 8, 8
61, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 8, 8
62, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
63, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
64, plains, minecraft:plains, CREATURE, naturalist:snail, 10, 1, 3
65, plains, minecraft:plains, CREATURE, naturalist:butterfly, 10, 1, 3
66, plains, minecraft:plains, CREATURE, naturalist:robin, 10, 1, 4
67, plains, minecraft:plains, CREATURE, naturalist:snake, 10, 1, 1
68, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
69, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
70, plains, minecraft:plains, fireflies, naturalist:firefly, 10, 2, 3
71, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
72, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
73, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
74, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
75, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
76, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
77, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
78, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
79, none, minecraft:sunflower_plains, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
80, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
81, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
82, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
83, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
84, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
85, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
86, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
87, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
88, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
89, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
90, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
91, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
92, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
93, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
94, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
95, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
96, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
97, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
98, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
99, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
100, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
101, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
102, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
103, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
104, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 8, 8
105, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 8, 8
106, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 8, 8
107, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 8, 8
108, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
109, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
110, none, minecraft:sunflower_plains, CREATURE, naturalist:snail, 10, 1, 3
111, none, minecraft:sunflower_plains, CREATURE, naturalist:butterfly, 10, 1, 3
112, none, minecraft:sunflower_plains, CREATURE, naturalist:robin, 10, 1, 4
113, none, minecraft:sunflower_plains, CREATURE, naturalist:snake, 10, 1, 1
114, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
115, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
116, none, minecraft:sunflower_plains, fireflies, naturalist:firefly, 10, 2, 3
117, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
118, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
119, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
120, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
121, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
122, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
123, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
124, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
125, icy, minecraft:snowy_plains, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
126, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
127, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
128, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
129, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
130, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
131, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
132, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
133, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
134, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
135, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
136, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
137, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
138, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
139, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
140, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
141, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
142, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
143, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
144, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
145, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
146, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
147, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
148, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
149, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
150, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
151, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
152, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
153, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
154, icy, minecraft:snowy_plains, CREATURE, naturalist:snail, 10, 1, 3
155, icy, minecraft:snowy_plains, CREATURE, naturalist:butterfly, 10, 1, 3
156, icy, minecraft:snowy_plains, CREATURE, cnb:yeti, 10, 2, 3
157, icy, minecraft:snowy_plains, CREATURE, naturalist:robin, 10, 1, 4
158, icy, minecraft:snowy_plains, CREATURE, naturalist:bluejay, 10, 1, 4
159, icy, minecraft:snowy_plains, CREATURE, naturalist:snake, 10, 1, 1
160, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
161, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
162, icy, minecraft:snowy_plains, fireflies, naturalist:firefly, 10, 2, 3
163, none, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
164, none, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
165, none, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
