1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
2, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
3, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
4, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
5, none, minecraft:the_void, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
6, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
7, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
8, none, minecraft:the_void, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
9, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
10, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
11, none, minecraft:the_void, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
12, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
13, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
14, none, minecraft:the_void, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
15, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
16, none, minecraft:the_void, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
17, none, minecraft:the_void, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
18, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
19, none, minecraft:the_void, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
20, none, minecraft:the_void, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
21, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
22, none, minecraft:the_void, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
23, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
24, none, minecraft:the_void, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
25, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
26, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
27, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
28, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
29, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
30, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
31, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
32, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
33, plains, minecraft:plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
34, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
35, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
36, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
37, plains, minecraft:plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
38, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
39, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
40, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
41, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
42, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
43, plains, minecraft:plains, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
44, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
45, plains, minecraft:plains, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
46, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
47, plains, minecraft:plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
48, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
49, plains, minecraft:plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
50, plains, minecraft:plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
51, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
52, plains, minecraft:plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
53, plains, minecraft:plains, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
54, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
55, plains, minecraft:plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
56, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
57, plains, minecraft:plains, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
58, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
